spatial_clustering,network_homophily,cross_cultural_friendship_share,mean_stress,mean_stress_active,isolation_rate,active_social_ties,friendship_count,mean_tie_strength,ties_created_total,ties_removed_total,mean_cultural_dist,scenario,intervention,seed,tick,run
0.7249801113762927,0.6568100358422939,0.3431899641577061,0.07381976364733184,0.019739768060495207,0.102,1116,1116,1.074120092134242,1928,812,0.23541901821722278,chinese_heavy,False,11009,300,9
0.7624497991967872,0.6566005176876618,0.3433994823123382,0.08591867396821437,0.017248349823056012,0.124,1159,1159,1.0517892209082578,2050,891,0.23986080665118936,chinese_heavy,False,11010,300,10
0.7331295843520783,0.6033129904097646,0.3966870095902354,0.08681598458114138,0.014542060887999477,0.126,1147,1147,1.029609737740811,2053,906,0.24094699208349407,chinese_heavy,False,11011,300,11
0.708649289099526,0.6370887337986042,0.3629112662013958,0.10047580004153285,0.03294974456223588,0.134,1003,1003,1.0777191489556237,1772,769,0.24628472385868444,chinese_heavy,False,11012,300,12
0.7920187793427229,0.6125574272588055,0.38744257274119454,0.05350220745903328,0.016406158655263226,0.066,1306,1306,1.0683845490249497,2193,887,0.22677166139431626,chinese_heavy,False,11013,300,13
0.7258272800645682,0.659350307287094,0.340649692712906,0.09550764257570009,0.0320798265314431,0.12,1139,1139,1.0461249026125135,1984,845,0.2437975371915806,chinese_heavy,False,11014,300,14
0.6996012759170654,0.6782133090246126,0.32178669097538737,0.1079565972213703,0.022171166408336395,0.162,1097,1097,1.0258192880568389,1892,795,0.25206837257142717,chinese_heavy,False,11015,300,15
0.7369668246445498,0.62109375,0.37890625,0.0966060498097296,0.02485333783007475,0.134,1024,1024,1.0807757784225684,1752,728,0.2471171016164276,chinese_heavy,False,11016,300,16
0.7751947040498441,0.7137064071370641,0.2862935928629359,0.07834061123627457,0.024350809660587756,0.102,1233,1233,1.0540976687184578,2140,907,0.23068309972559092,chinese_heavy,False,11017,300,17
0.6826587301587302,0.6567164179104478,0.34328358208955223,0.10682366871044556,0.03707404605266203,0.128,1005,1005,1.0676557630872843,1809,804,0.24589354539120506,chinese_heavy,False,11018,300,18
0.7774297188755019,0.5485865724381626,0.45141342756183744,0.06334526051541925,0.02133950999180302,0.084,1132,1132,1.0316896264063846,1966,834,0.22931172991040605,chinese_heavy,False,11019,300,19
0.7594090648307517,0.49772727272727274,0.5022727272727272,0.05705647778520976,0.02282843820307784,0.066,1320,1320,0.9655777636711257,2635,1315,0.2288724982561982,chinese_heavy,True,12000,300,0
0.7355606758832566,0.4826054774241303,0.5173945225758697,0.06840864450940094,0.020062276814862813,0.082,1351,1351,0.9715899406801219,2721,1370,0.23008170789096302,chinese_heavy,True,12001,300,1
